# This text will be overwritten whenever the script is run!
# Each line begins with the center_node and the following numbers are how many zeroes
# are in it and its neighbors.
# This data should be importable by Python using csv.reader()

# Example:
# TRENT,"[# of zeroe in TRENT, # of zeroes in neighbor 1, # zeroes in neighbor 2, ...]"

TRENT_TRENT,"[0, 3, 4, 0, 5306, 4]"
H_HOLLO_WND1,"[3, 19, 18, 17, 762]"
INGLCOS_CTG2,"[19, 0, 0, 0, 0, 744, 744, 744, 744, 0]"
LZ_WEST,"[0, 2, 0, 0, 0, 0, 0, 15262, 15262, 15262, 15262, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]"
KMCHI_2ST,"[2, 0, 744, 744, 0, 0, 0, 0, 0]"
PC_SOUTH_2,"[0, 1, 1, 3, 2]"
HB_HOUSTON,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
FLTCK_SSI,"[8, 0, 744, 744, 0, 0]"
LZ_HOUSTON,"[0, 0, 0, 0, 0, 0, 0, 15262, 15262, 15262, 15262, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]"
KMCHI_2CT101,"[2, 0, 744, 744, 0, 0, 0, 0, 0]"
KMCHI_2CT201,"[0, 0, 744, 744, 0, 0, 0, 0, 0]"
NUE_NUECESG7,"[0, 0, 5, 4, 33857, 33856, 0, 0, 0, 1, 36041, 4, 744, 744, 749, 748, 34096, 34097, 744, 744, 34096, 34097, 744, 0]"
HB_NORTH,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
FRO_FRONTEG1,"[8, 1, 24117, 24117, 24118, 1, 1, 2, 747, 745, 745, 745, 14110, 30836, 1, 2, 3, 20420, 20421, 1, 1, 1]"
FRO_FRONTEG3,"[0, 3, 24117, 24117, 24118, 1, 1, 2, 747, 745, 745, 745, 14110, 30836, 1, 2, 3, 20420, 20421, 1, 1, 1]"
FRO_FRONTEG2,"[0, 2, 24117, 24117, 24118, 1, 1, 2, 747, 745, 745, 745, 14110, 30836, 1, 2, 3, 20420, 20421, 1, 1, 1]"
CAL_CALGT1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 744, 744, 744, 744, 745, 745, 744, 744, 744, 745, 745, 744, 744, 744, 744, 0, 0, 0, 0, 0, 0, 3, 5, 5, 0, 0, 0, 0, 0, 0, 1, 1, 1, 745, 745, 1, 0, 0, 0, 0, 0, 22410, 0, 0, 0, 0, 1, 0, 0, 0, 744, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44869, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
CALAVER_OWS1,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 744, 744, 744, 744, 745, 745, 744, 744, 744, 745, 745, 744, 744, 744, 744, 0, 0, 0, 0, 0, 0, 1]"
CALAVER_OWS2,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 744, 744, 744, 744, 745, 745, 744, 744, 744, 745, 745, 744, 744, 744, 744, 0, 0, 0, 0, 0, 0, 1]"
LOS_LOSTPGT1,"[0, 0, 0, 45350, 17516, 17515, 1, 0, 744, 745, 0, 1, 2, 0, 0, 0]"
LOS_LOSTPGT2,"[22627, 1, 0, 45350, 17516, 17515, 1, 0, 744, 745, 0, 1, 2, 0, 0, 0]"
BRAUNIG_VHB3,"[22627, 0, 1, 745, 745, 745, 744, 744, 745, 745, 745, 746, 1, 744, 0, 0, 0, 2, 2, 0, 0, 1]"
HB_BUSAVG,"[1, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
OECCS_2,"[8, 2, 746, 747, 3, 20228, 18260, 2, 18260]"
OECCS_1,"[20227, 3, 746, 747, 3, 20228, 18260, 2, 18260]"
KING_KINGNW,"[20227, 3, 3, 0, 0, 2, 2, 0, 0, 44606, 0, 0, 432, 0, 2, 2, 2, 0, 0, 0, 3, 3, 747, 18260, 3, 747, 747, 747, 3, 0, 0, 0, 0, 0, 0, 0, 23443, 4, 4, 3]"
VISTRON_TG1,"[4, 0, 744, 744, 0, 0, 0, 0, 0, 0, 0]"
VISTRON_TG2,"[0, 0, 744, 744, 0, 0, 0, 0, 0, 0, 0]"
LZ_CPS,"[0, 0, 0, 0, 0, 0, 0, 15262, 15262, 15262, 15262, 1, 1, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 0]"
TUTTL_WBT4G4,"[2, 45805, 2, 1, 0, 45805, 745, 745, 745, 745, 745, 45806, 0, 0, 0, 0, 45805, 45805]"
FO_FORMOSG3,"[45805, 0, 0, 1, 0, 1, 1, 7990, 1, 2, 1, 12408, 4, 2, 4160, 5303, 4151, 5303, 4151, 4151, 0, 0, 0, 0, 0, 43623, 744, 744, 744, 42878, 42878, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 16773, 2, 2, 5303, 5303, 5303, 5304, 5304, 5303, 5303, 5303, 5303, 5303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12837, 33521, 33521, 33521, 33521, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 0, 0, 33689, 45855, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 744, 744, 744, 744, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
LEON_LCP3G3,"[0, 18764, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 744, 744, 744, 744, 744, 18764, 18764, 0, 0, 1, 1, 0]"
HB_HUBAVG,"[0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1633, 1633, 1634, 1634, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 9502, 0, 0, 0, 1, 22269, 2, 5303, 5303, 5303, 5303, 1, 1, 0, 0, 3, 10702, 0, 0, 0, 2, 0, 0, 0, 0, 0]"
BVE_UNIT3,"[8, 0, 5303, 5303, 5303, 0, 0, 0, 0, 0]"
BVE_UNIT2,"[0, 0, 5303, 5303, 5303, 0, 0, 0, 0, 0]"
BVE_UNIT1,"[0, 0, 5303, 5303, 5303, 0, 0, 0, 0, 0]"
GWEC_G1,"[0, 23448, 24816, 23448, 23447]"
AMO_AMOCO_S2,"[23447, 0, 0, 0, 0, 0, 0, 0, 1]"
AMO_AMOCO_S1,"[0, 1, 0, 0, 0, 0, 0, 0, 1]"
GID_GIDEONG1,"[0, 0, 744, 0, 744, 0, 745, 744, 746, 745, 744, 744, 744, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
TUTTL_WBT3G3,"[0, 45805, 2, 1, 0, 45805, 745, 745, 745, 745, 745, 45806, 0, 0, 0, 0, 45805, 45805]"
